ip,domain,numberOfPackets,totalMbSize,startTime,endTime,protocol
188.128.39.127,,5,0.0014719999999999998,1574956570.8779163,1574956570.935892,tcp
188.128.39.127,,4,0.000592,1574956571.0310895,1574956571.099421,tcp
188.128.39.127,,4,0.00036799999999999995,1574956571.199138,1574956571.2517238,tcp
172.217.19.229,par21s11-in-f5.1e100.net,12,0.0028040000000000005,1574956565.713555,1574956565.8239856,tcp
172.217.19.229,par21s11-in-f5.1e100.net,3,0.00046899999999999996,1574956571.7841198,1574956571.7888072,tcp
172.217.19.229,par21s11-in-f5.1e100.net,4,0.000716,1574956572.0152566,1574956572.0169988,tcp
172.217.19.229,par21s11-in-f5.1e100.net,2,0.000178,1574956572.0544457,1574956572.0589797,tcp
172.217.19.229,par21s11-in-f5.1e100.net,3,0.000566,1574956572.1345625,1574956572.1391528,tcp
172.217.19.229,par21s11-in-f5.1e100.net,2,0.000986,1574956572.2070549,1574956572.224829,tcp
172.217.19.229,par21s11-in-f5.1e100.net,2,0.00022899999999999998,1574956572.2641423,1574956572.2642078,tcp
172.217.19.229,par21s11-in-f5.1e100.net,2,0.000178,1574956572.283857,1574956572.2883928,tcp
172.217.19.229,par21s11-in-f5.1e100.net,3,0.000548,1574956572.3584168,1574956572.3629353,tcp
172.217.19.229,par21s11-in-f5.1e100.net,3,0.000697,1574956572.454621,1574956572.4546843,tcp
172.217.19.229,par21s11-in-f5.1e100.net,2,0.000178,1574956572.4759898,1574956572.4805033,tcp
172.217.19.229,par21s11-in-f5.1e100.net,3,0.000566,1574956574.6133401,1574956574.6178913,tcp
172.217.19.229,par21s11-in-f5.1e100.net,4,0.001423,1574956574.6783686,1574956574.6800766,tcp
172.217.19.229,par21s11-in-f5.1e100.net,2,0.000178,1574956574.702078,1574956574.7021112,tcp
172.217.19.229,par21s11-in-f5.1e100.net,2,0.001831,1574956574.812967,1574956574.8130496,tcp
172.217.19.229,par21s11-in-f5.1e100.net,9,0.0017729999999999998,1574956574.8175719,1574956574.9535422,tcp
172.217.19.229,par21s11-in-f5.1e100.net,3,0.000566,1574956577.886158,1574956577.8907087,tcp
172.217.19.229,par21s11-in-f5.1e100.net,4,0.0014749999999999997,1574956577.9466586,1574956577.9485419,tcp
172.217.19.229,par21s11-in-f5.1e100.net,2,0.000178,1574956577.9692817,1574956577.9693115,tcp
172.217.19.229,par21s11-in-f5.1e100.net,2,0.001835,1574956578.0588567,1574956578.0588927,tcp
172.217.19.229,par21s11-in-f5.1e100.net,10,0.001403,1574956578.0634453,1574956578.1420343,tcp
172.217.19.229,par21s11-in-f5.1e100.net,3,0.00046899999999999996,1574956578.612821,1574956578.617874,tcp
