ip,domain,numberOfPackets,totalMbSize,startTime,endTime,protocol
216.58.213.138,par21s03-in-f138.1e100.net,3,0.00024399999999999997,1574956669.733359,1574956669.7334003,tcp
216.58.213.138,par21s03-in-f138.1e100.net,2,0.00037099999999999996,1574956669.754677,1574956669.7591367,tcp
216.58.213.138,par21s03-in-f138.1e100.net,3,0.00074,1574956670.1059442,1574956670.1060343,tcp
216.58.213.138,par21s03-in-f138.1e100.net,2,0.000178,1574956670.129948,1574956670.134444,tcp
216.58.213.138,par21s03-in-f138.1e100.net,3,0.001121,1574956670.1472394,1574956670.1565588,tcp
216.58.213.138,par21s03-in-f138.1e100.net,3,0.003549,1574956670.5062833,1574956670.5068345,tcp
216.58.213.138,par21s03-in-f138.1e100.net,2,0.00013199999999999998,1574956670.5287986,1574956670.528825,tcp
216.58.213.138,par21s03-in-f138.1e100.net,5,0.0010609999999999999,1574956670.5397074,1574956670.6245985,tcp
216.58.213.138,par21s03-in-f138.1e100.net,3,0.0015679999999999997,1574956670.7892752,1574956670.7895808,tcp
216.58.213.138,par21s03-in-f138.1e100.net,4,0.001806,1574956670.8073266,1574956670.8081923,tcp
216.58.213.138,par21s03-in-f138.1e100.net,7,0.002656,1574956670.823467,1574956670.8619857,tcp
216.58.213.138,par21s03-in-f138.1e100.net,2,0.000178,1574956670.8808513,1574956670.8808763,tcp
66.102.1.188,wb-in-f188.1e100.net,2,0.000148,1574956671.151139,1574956671.160297,tcp
66.102.1.188,wb-in-f188.1e100.net,3,0.000926,1574956671.185311,1574956671.1951954,tcp
216.58.213.138,par21s03-in-f138.1e100.net,2,0.0016380000000000001,1574956671.2621107,1574956671.2621439,tcp
216.58.213.138,par21s03-in-f138.1e100.net,2,0.00283,1574956671.2638936,1574956671.263966,tcp
216.58.213.138,par21s03-in-f138.1e100.net,9,0.014147999999999997,1574956671.2651076,1574956671.2709615,tcp
66.102.1.188,wb-in-f188.1e100.net,7,0.0017019999999999997,1574956671.2178407,1574956671.2648199,tcp
216.58.213.138,par21s03-in-f138.1e100.net,2,0.00013199999999999998,1574956671.299102,1574956671.2991245,tcp
216.58.213.138,par21s03-in-f138.1e100.net,4,0.00026399999999999997,1574956671.3011894,1574956671.3014143,tcp
216.58.213.138,par21s03-in-f138.1e100.net,11,0.0029120000000000005,1574956667.426297,1574956668.0494053,tcp
216.58.213.138,par21s03-in-f138.1e100.net,3,0.0009099999999999999,1574956673.1130896,1574956673.1178894,tcp
216.58.213.138,par21s03-in-f138.1e100.net,3,0.0008489999999999999,1574956673.1719506,1574956673.1729002,tcp
172.217.18.206,ham02s14-in-f206.1e100.net,2,0.000148,1574956673.36891,1574956673.3736205,tcp
172.217.18.206,ham02s14-in-f206.1e100.net,4,0.004147,1574956673.3958945,1574956673.4057221,tcp
172.217.18.206,ham02s14-in-f206.1e100.net,2,0.00013199999999999998,1574956673.4221137,1574956673.423047,tcp
216.58.213.138,par21s03-in-f138.1e100.net,2,0.000148,1574956673.4321468,1574956673.436647,tcp
172.217.18.206,ham02s14-in-f206.1e100.net,2,0.00048499999999999997,1574956673.4537668,1574956673.4538927,tcp
216.58.213.138,par21s03-in-f138.1e100.net,3,0.004215999999999999,1574956673.4535239,1574956673.4629052,tcp
172.217.18.206,ham02s14-in-f206.1e100.net,2,0.001161,1574956673.5179396,1574956673.5181243,tcp
