ip,domain,numberOfPackets,totalMbSize,startTime,endTime,protocol
35.186.224.53,53.224.186.35.bc.googleusercontent.com,2,0.00013199999999999998,1574955269.7768388,1574955269.776871,tcp
35.186.224.53,53.224.186.35.bc.googleusercontent.com,2,0.00048499999999999997,1574955269.8139198,1574955269.8139617,tcp
35.186.224.53,53.224.186.35.bc.googleusercontent.com,3,0.001559,1574955269.7782779,1574955269.80897,tcp
35.186.224.47,47.224.186.35.bc.googleusercontent.com,2,0.000148,1574955269.8351386,1574955269.8401759,tcp
35.186.224.53,53.224.186.35.bc.googleusercontent.com,5,0.00086,1574955269.8601663,1574955269.8647525,tcp
35.186.224.53,53.224.186.35.bc.googleusercontent.com,2,0.000108,1574955269.8815496,1574955269.8815668,tcp
35.186.224.47,47.224.186.35.bc.googleusercontent.com,3,0.00482,1574955269.868829,1574955269.875421,tcp
35.186.224.53,53.224.186.35.bc.googleusercontent.com,6,0.00236,1574955269.8357494,1574955269.8754435,tcp
35.186.224.47,47.224.186.35.bc.googleusercontent.com,2,0.00013199999999999998,1574955269.905822,1574955269.9058347,tcp
35.186.224.53,53.224.186.35.bc.googleusercontent.com,3,0.000745,1574955269.9086585,1574955269.908705,tcp
35.186.224.47,47.224.186.35.bc.googleusercontent.com,7,0.0008719999999999999,1574955269.9257972,1574955269.9405608,tcp
35.186.224.53,53.224.186.35.bc.googleusercontent.com,2,0.00013199999999999998,1574955269.9270377,1574955269.9355302,tcp
35.186.224.47,47.224.186.35.bc.googleusercontent.com,3,0.000857,1574955269.9714653,1574955269.9748077,tcp
35.186.224.47,47.224.186.35.bc.googleusercontent.com,3,0.000374,1574955269.9946835,1574955270.0051818,tcp
35.186.224.53,53.224.186.35.bc.googleusercontent.com,2,0.000752,1574955270.0438886,1574955270.048683,tcp
35.186.224.53,53.224.186.35.bc.googleusercontent.com,8,0.005582999999999999,1574955270.0785987,1574955270.1003828,tcp
35.186.224.53,53.224.186.35.bc.googleusercontent.com,2,0.00013199999999999998,1574955270.117254,1574955270.1172793,tcp
35.186.224.53,53.224.186.35.bc.googleusercontent.com,2,0.000178,1574955270.1268194,1574955270.126842,tcp
104.199.64.179,179.64.199.104.bc.googleusercontent.com,3,0.0007149999999999999,1574955270.138669,1574955270.1498952,tcp
104.199.64.179,179.64.199.104.bc.googleusercontent.com,2,0.000187,1574955270.1748354,1574955270.1837323,tcp
104.199.64.179,179.64.199.104.bc.googleusercontent.com,2,0.000375,1574955270.2202902,1574955270.229585,tcp
35.186.224.53,53.224.186.35.bc.googleusercontent.com,10,0.0014329999999999998,1574955270.135041,1574955270.252049,tcp
104.199.64.179,179.64.199.104.bc.googleusercontent.com,4,0.003433,1574955270.269202,1574955270.296897,tcp
35.186.224.53,53.224.186.35.bc.googleusercontent.com,6,0.0030590000000000005,1574955270.349783,1574955270.3790045,tcp
35.186.224.53,53.224.186.35.bc.googleusercontent.com,2,0.000178,1574955270.3983715,1574955270.3984137,tcp
104.199.64.179,179.64.199.104.bc.googleusercontent.com,4,0.0032559999999999998,1574955270.3540916,1574955270.388358,tcp
35.186.224.53,53.224.186.35.bc.googleusercontent.com,2,0.000646,1574955270.4266472,1574955270.4314141,tcp
35.186.224.53,53.224.186.35.bc.googleusercontent.com,2,0.000486,1574955270.4695075,1574955270.4695184,tcp
185.151.204.13,,11,0.006262,1574955270.2309895,1574955270.4055421,tcp
35.186.224.53,53.224.186.35.bc.googleusercontent.com,2,0.000178,1574955270.490448,1574955270.4904976,tcp
161.117.190.13,,4,0.000433,1574955269.8945377,1574955270.217524,tcp
35.186.224.53,53.224.186.35.bc.googleusercontent.com,2,0.000504,1574955270.5165486,1574955270.5213027,tcp
35.186.224.53,53.224.186.35.bc.googleusercontent.com,5,0.0011419999999999998,1574955270.5422347,1574955270.5512943,tcp
35.186.224.53,53.224.186.35.bc.googleusercontent.com,2,0.000178,1574955270.5766504,1574955270.5766766,tcp
104.199.64.179,179.64.199.104.bc.googleusercontent.com,9,0.002849,1574955270.4256513,1574955270.572346,tcp
35.186.224.53,53.224.186.35.bc.googleusercontent.com,2,0.00032199999999999997,1574955270.6491506,1574955270.6539197,tcp
