ip,domain,numberOfPackets,totalMbSize,startTime,endTime,protocol
179.60.192.3,edge-star-shv-01-cdg2.facebook.com,13,0.024576999999999995,1574960296.5739152,1574960296.5825372,tcp
179.60.192.3,edge-star-shv-01-cdg2.facebook.com,3,0.000198,1574960296.5898209,1574960296.5955086,tcp
179.60.192.2,edge-mqtt-shv-01-cdg2.facebook.com,2,0.000167,1574960296.5286434,1574960296.5670311,tcp
47.88.232.28,,5,0.000594,1574960290.4516475,1574960293.446819,tcp
179.60.192.2,edge-mqtt-shv-01-cdg2.facebook.com,5,0.0006369999999999999,1574960296.729239,1574960296.8275933,tcp
216.58.204.131,par21s05-in-f131.1e100.net,2,0.000148,1574960299.3460064,1574960299.3504732,tcp
216.58.204.131,par21s05-in-f131.1e100.net,2,0.000323,1574960299.384097,1574960299.3885527,tcp
216.58.204.131,par21s05-in-f131.1e100.net,4,0.002625,1574960299.395914,1574960299.4134738,tcp
216.58.204.131,par21s05-in-f131.1e100.net,3,0.001035,1574960299.4434059,1574960299.4646728,tcp
179.60.192.3,edge-star-shv-01-cdg2.facebook.com,3,0.000268,1574960296.6897273,1574960296.73302,tcp
179.60.192.2,edge-mqtt-shv-01-cdg2.facebook.com,2,0.000167,1574960298.6919777,1574960298.7133777,tcp
179.60.192.2,edge-mqtt-shv-01-cdg2.facebook.com,7,0.0007559999999999999,1574960301.5020266,1574960301.872543,tcp
216.58.204.131,par21s05-in-f131.1e100.net,2,0.000685,1574960302.5496738,1574960302.5543506,tcp
47.88.232.28,,2,0.000148,1574960300.4381049,1574960301.4382381,tcp
179.60.192.2,edge-mqtt-shv-01-cdg2.facebook.com,3,0.00026299999999999994,1574960302.5470479,1574960303.3655145,tcp
179.60.192.3,edge-star-shv-01-cdg2.facebook.com,4,0.0007189999999999999,1574960300.9801638,1574960301.0367386,tcp
179.60.192.3,edge-star-shv-01-cdg2.facebook.com,2,0.000167,1574960305.5520442,1574960305.5733953,tcp
179.60.192.2,edge-mqtt-shv-01-cdg2.facebook.com,3,0.00023299999999999997,1574960304.3469815,1574960304.4465327,tcp
179.60.192.2,edge-mqtt-shv-01-cdg2.facebook.com,6,0.0008169999999999999,1574960306.0479357,1574960306.118652,tcp
47.88.232.28,,10,0.004062,1574960305.4771986,1574960306.2810314,tcp
179.60.192.3,edge-star-shv-01-cdg2.facebook.com,2,0.000148,1574960308.603221,1574960308.608057,tcp
179.60.192.36,edge-star-mini-shv-01-cdg2.facebook.com,2,0.000148,1574960308.6032577,1574960308.608098,tcp
179.60.192.3,edge-star-shv-01-cdg2.facebook.com,2,0.000148,1574960308.6041877,1574960308.6089892,tcp
179.60.192.36,edge-star-mini-shv-01-cdg2.facebook.com,2,0.000148,1574960308.6181633,1574960308.6229756,tcp
179.60.192.3,edge-star-shv-01-cdg2.facebook.com,4,0.0009659999999999998,1574960308.632669,1574960308.6381311,tcp
179.60.192.36,edge-star-mini-shv-01-cdg2.facebook.com,4,0.000954,1574960308.6327152,1574960308.63822,tcp
179.60.192.3,edge-star-shv-01-cdg2.facebook.com,2,0.00022199999999999998,1574960308.6569686,1574960308.6571434,tcp
179.60.192.36,edge-star-mini-shv-01-cdg2.facebook.com,4,0.0009559999999999998,1574960308.644557,1574960308.6500993,tcp
179.60.192.3,edge-star-shv-01-cdg2.facebook.com,4,0.000954,1574960308.644507,1574960308.6501377,tcp
179.60.192.36,edge-star-mini-shv-01-cdg2.facebook.com,2,0.00022199999999999998,1574960308.6658695,1574960308.667123,tcp
179.60.192.3,edge-star-shv-01-cdg2.facebook.com,2,0.00022199999999999998,1574960308.6659145,1574960308.668574,tcp
179.60.192.36,edge-star-mini-shv-01-cdg2.facebook.com,3,0.00045999999999999996,1574960308.6571076,1574960308.6707275,tcp
47.88.232.28,,3,0.000279,1574960307.4476569,1574960308.8417957,tcp
47.88.232.28,,3,0.00035899999999999994,1574960315.7946346,1574960315.9976869,tcp
47.88.232.28,,5,0.003574999999999999,1574960316.3161569,1574960316.4211378,tcp
47.88.232.28,,4,0.0008749999999999999,1574960306.7008183,1574960307.1116953,tcp
213.186.33.99,cdns.ovh.net,2,0.000192,1574960308.6031845,1574960308.9384365,udp
47.88.232.28,,4,0.0008749999999999999,1574960316.8262122,1574960317.2252476,tcp
60.250.164.169,mail.ustv.com.tw,2,0.000148,1574960332.6003618,1574960332.6004748,tcp
60.250.164.169,mail.ustv.com.tw,5,0.0014719999999999998,1574960332.896928,1574960333.1933265,tcp
60.250.164.169,mail.ustv.com.tw,4,0.000592,1574960333.5231433,1574960333.8262992,tcp
60.250.164.169,mail.ustv.com.tw,4,0.00036799999999999995,1574960334.1631558,1574960334.4518783,tcp
167.99.173.171,mike.cm,2,0.000148,1574960337.4609015,1574960337.4609811,tcp
167.99.173.171,mike.cm,5,0.0014719999999999998,1574960337.6182644,1574960337.762348,tcp
89.248.160.193,no-reverse-dns-configured.com,2,0.000108,1574960339.6183228,1574960339.6184037,tcp
167.99.173.171,mike.cm,13,0.0013900000000000002,1574960337.9711468,1574960339.0271392,tcp
167.99.173.171,mike.cm,3,0.00024999999999999995,1574960340.9767065,1574960340.9767935,tcp
179.60.192.2,edge-mqtt-shv-01-cdg2.facebook.com,3,0.000276,1574960325.4420245,1574960325.4605665,tcp
157.240.21.32,edge-mqtt-mini-shv-01-cdt1.facebook.com,4,0.0016530000000000002,1574960347.309096,1574960347.33901,tcp
157.240.21.32,edge-mqtt-mini-shv-01-cdt1.facebook.com,3,0.00023099999999999998,1574960347.375533,1574960347.384944,tcp
196.192.110.64,,2,0.000148,1574960347.941721,1574960347.9418077,tcp
179.60.192.2,edge-mqtt-shv-01-cdg2.facebook.com,2,0.000148,1574960348.233465,1574960348.2383697,tcp
179.60.192.2,edge-mqtt-shv-01-cdg2.facebook.com,3,0.003459,1574960348.2685916,1574960348.274162,tcp
179.60.192.2,edge-mqtt-shv-01-cdg2.facebook.com,2,0.00013199999999999998,1574960348.289986,1574960348.2900016,tcp
179.60.192.2,edge-mqtt-shv-01-cdg2.facebook.com,3,0.000668,1574960348.3395472,1574960348.3586962,tcp
179.60.192.2,edge-mqtt-shv-01-cdg2.facebook.com,2,0.00018199999999999998,1574960348.4439623,1574960348.44771,tcp
179.60.192.2,edge-mqtt-shv-01-cdg2.facebook.com,2,0.000165,1574960348.4706821,1574960348.4714687,tcp
196.192.110.64,,5,0.0014719999999999998,1574960348.1392474,1574960348.3270345,tcp
196.192.110.64,,4,0.000592,1574960348.5551248,1574960348.7520802,tcp
179.60.192.2,edge-mqtt-shv-01-cdg2.facebook.com,23,0.025219999999999996,1574960348.8702552,1574960348.9404345,tcp
179.60.192.2,edge-mqtt-shv-01-cdg2.facebook.com,2,0.00013199999999999998,1574960348.9544122,1574960348.9544387,tcp
179.60.192.2,edge-mqtt-shv-01-cdg2.facebook.com,3,0.000198,1574960348.9594617,1574960348.9595156,tcp
196.192.110.64,,4,0.00036799999999999995,1574960348.9831326,1574960349.1688316,tcp
143.204.209.156,server-143-204-209-156.fra53.r.cloudfront.net,2,0.000148,1574960349.9529428,1574960349.9624648,tcp
143.204.209.156,server-143-204-209-156.fra53.r.cloudfront.net,5,0.005381,1574960350.0418305,1574960350.0547638,tcp
143.204.209.156,server-143-204-209-156.fra53.r.cloudfront.net,2,0.00014399999999999998,1574960350.0723362,1574960350.0732832,tcp
